doorcardID,username,doorcardname,doorstartdate,doorenddate,doorterm,college,_reject_reason
12770,simmers,Door Card Name,06/17/13 00:00:00,07/25/13 00:00:00,201305,Skyline,User not found for username: simmers
10816,simmers,SimmersKR,06/18/12 00:00:00,07/26/12 00:00:00,201205,Skyline,User not found for username: simmers
10817,simmers,KRSIMMERS 12,06/18/12 00:00:00,07/26/12 00:00:00,201205,Skyline,User not found for username: simmers
10869,gianoli,Summer 2012,06/18/12 00:00:00,07/26/12 00:00:00,201205,Skyline,User not found for username: gianoli
10870,gianoli,Door Card Name,06/18/12 00:00:00,07/26/12 00:00:00,201203,Skyline,User not found for username: gianoli
12044,simmers,KRSIMMERS 13,01/14/13 00:00:00,05/22/13 00:00:00,201303,Skyline,User not found for username: simmers
13494,gangels,Prof. Gangel f 13,08/19/13 00:00:00,12/18/13 00:00:00,201308,Canada,User not found for username: gangels
13199,HANSENJU,"Hansen, Julia",08/19/13 00:00:00,12/20/13 00:00:00,201308,Skyline,User not found for username: HANSENJU
11132,gangels,GANGEL,08/20/12 00:00:00,05/30/12 00:00:00,201203,Canada,User not found for username: gangels
11304,semenzaK,Fall 2012 (A),08/20/12 00:00:00,10/05/12 00:00:00,201208,Skyline,User not found for username: semenzaK
11315,simmers,Simmers KS,08/20/12 00:00:00,12/16/12 00:00:00,201208,Skyline,User not found for username: simmers
11395,ropec,Fall 2012,08/20/12 00:00:00,12/12/12 00:00:00,201208,CSM,User not found for username: ropec
11897,Broxholm,Spring 2013,01/15/13 00:00:00,,201303,Skyline,User not found for username: Broxholm
11941,Biagi,CosmetologySpr.2013,01/14/13 00:00:00,05/23/13 00:00:00,201303,Skyline,User not found for username: Biagi
14854,ropec,Fall 2014,,,201408,CSM,User not found for username: ropec
12103,ropec,Spring 2013,01/14/13 00:00:00,05/17/13 00:00:00,201303,CSM,User not found for username: ropec
12150,gangels,GANGEL,01/14/13 00:00:00,05/30/13 00:00:00,201308,Canada,User not found for username: gangels
12164,Leddy,SPRING 2013,,,201303,CSM,User not found for username: Leddy
6475,gianoli,Spring 2011,01/18/11 00:00:00,05/28/10 00:00:00,201103,Skyline,User not found for username: gianoli
12225,Slicton,"Slicton, L.",01/22/15 00:00:00,05/22/15 00:00:00,201508,Skyline,User not found for username: Slicton
12287,Youk,Spring 2013,01/15/13 00:00:00,05/21/13 00:00:00,201303,Skyline,User not found for username: Youk
12339,hoffmanns,Shulamit Hoffmann,01/15/13 00:00:00,05/16/13 00:00:00,201303,CSM,User not found for username: hoffmanns
14079,ropec,,,,202203,CSM,User not found for username: ropec
14080,ropec,Spring 2014,01/13/14 00:00:00,05/16/14 00:00:00,201403,Canada,User not found for username: ropec
12474,anttilasuarezc,Carina Anttila-Suarez,01/14/13 00:00:00,05/27/13 00:00:00,201303,Skyline,User not found for username: anttilasuarezc
12739,Biagi,Cosmetology ,06/17/13 00:00:00,07/15/13 00:00:00,201305,Skyline,User not found for username: Biagi
12771,simmers,Pilates/Yoga Summer,06/17/13 00:00:00,07/25/13 00:00:00,201305,Skyline,User not found for username: simmers
13192,Cushway,DCushway,08/19/13 00:00:00,12/17/13 00:00:00,201308,Skyline,User not found for username: Cushway
12861,gangels,Prof. Gangelsum13,06/17/13 00:00:00,07/25/13 00:00:00,201305,Canada,User not found for username: gangels
12990,simmers,Door Card Name,,,201308,Skyline,User not found for username: simmers
12991,simmers,Door Card Name,,,201308,Skyline,User not found for username: simmers
12992,simmers,KRSIMMERS ,08/19/13 00:00:00,12/07/13 00:00:00,201308,Skyline,User not found for username: simmers
13904,simmers,Simmers14,01/13/14 00:00:00,05/15/14 00:00:00,201403,Skyline,User not found for username: simmers
13590,ropec,Fall 2013,,,201308,CSM,User not found for username: ropec
13203,HANSENJU,Fall 2013,08/19/13 00:00:00,12/20/13 00:00:00,201308,Skyline,User not found for username: HANSENJU
13227,anttilasuarezc,Door Card Name,08/18/13 00:00:00,12/19/13 00:00:00,201308,Skyline,User not found for username: anttilasuarezc
13228,anttilasuarezc,Door Card F13,08/18/13 00:00:00,12/19/13 00:00:00,201308,Skyline,User not found for username: anttilasuarezc
